﻿Emendas Parlamentares 2020;;;;;;;;;;
Autor;Emenda;Órgão;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;Pago
JOSÉ GOMES;23.695.6207.9085.0027 - REALIZAÇÃO DE EVENTOS DE PROMOÇÃO DO TURISMO EM PROL DA COMUNIDADE DO DF;SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL;0;9.604.636,00;0;0;9.604.636,00;9.604.636,00;9.604.636,00;9.604.636,00
ROOSEVELT VILELA;10.302.8217.4057.0011 - ASSISTÊNCIA MÉDICA-ASSISTÊNCIA MÉDICA PARA USUARIOS DO SISTEMA DE SAÚDE DA CBMDF -DISTRITO FEDERAL;FUNDO DE SAÚDE DO CORPO DE BOMBEIROS;0;7.000.000,00;0;0;7.000.000,00;7.000.000,00;6.999.994,41;6.999.994,41
VALDELINO BARCELOS;15.451.6209.1110.8170 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO EM TODO O DISTRITO FEDERAL;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;8.500.000,00;-2.008.895,00;0;0;6.491.105,00;6.491.088,59;6.491.088,59;6.446.569,04
REGINALDO SARDINHA;12.122.6221.9068.0193 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DO DF - PDAF (EM 2020);SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;2.764.000,00;2.862.000,00;0;-785.000,00;4.841.000,00;4.841.000,00;4.841.000,00;4.841.000,00
JOÃO CARDOSO;12.122.6221.9068.0199 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS DO DISTRITO FEDERAL- PROGRAMA PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;1.800.000,00;2.589.636,00;0;0;4.389.636,00;4.389.636,00;4.389.636,00;4.389.636,00
JOÃO CARDOSO;12.122.6221.9068.0199 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS DO DISTRITO FEDERAL- PROGRAMA PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;3.000.000,00;1.140.000,00;0;0;4.140.000,00;4.140.000,00;4.140.000,00;4.140.000,00
PROF. REGINALDO VERAS;12.122.6221.9068.0186 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS - PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;5.000.000,00;-881.000,00;0;0;4.119.000,00;4.119.000,00;4.119.000,00;4.119.000,00
ROBÉRIO NEGREIROS;11.333.6207.2900.0011 - EXPANSÃO DA OFERTA DE QUALIFICAÇÃO SOCIAL PROFISSIONAL PARA JOVENS E ADULTOS-QUALIFICA DF 2020-DISTRITO FEDERAL;SECR. DE ESTADO DE TRABALHO DO DISTRITO FEDERAL;0;2.000.000,00;2.000.000,00;0;4.000.000,00;4.000.000,00;2.220.400,00;2.220.400,00
DANIEL DONIZET;15.451.6209.1110.8171 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO NO DISTRITO FEDERAL;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;3.000.000,00;1.000.000,00;0;0;4.000.000,00;3.988.292,93;3.835.037,99;3.833.554,26
ROOSEVELT VILELA;10.301.8217.4057.0010 - ASSISTÊNCIA MÉDICA-ASSISTÊNCIA MÉDICA PARA USUARIOS DO SISTEMA DE SAÚDE DA PMDF -DISTRITO FEDERAL;FUNDO DE SAÚDE DA POLÍCIA MILITAR;0;3.598.000,00;0;0;3.598.000,00;3.598.000,00;3.596.549,18;3.596.549,18
CHICO VIGILANTE;12.122.6221.9068.0198 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DO DISTRITO FEDERAL;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;3.000.000,00;136.480,00;0;0;3.136.480,00;3.136.480,00;3.136.480,00;3.136.480,00
LEANDRO GRASS;12.122.6221.9068.0202 - PROGRAMA DE DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS PÚBLICAS DO DISTRITO FEDERAL - PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;3.500.000,00;-155.336,00;0;0;3.344.664,00;3.123.300,00;3.123.300,00;3.123.300,00
AGACIEL MAIA;08.244.6228.4188.0014 - AÇÕES COMPLEMENTARES DE PROTEÇÃO SOCIAL BÁSICA--DISTRITO FEDERAL;SECRETARIA DE EST. DE DESENV. SOCIAL DO DF;0;3.060.000,00;0;-50.000,00;3.010.000,00;3.010.000,00;3.010.000,00;3.010.000,00
ARLETE AVELAR SAMPAIO;12.122.6221.9068.0201 - TRANSFERÊNCIA POR MEIO DE DESCENTRALIZAÇÃO FINANCEIRA - PDAF NO DF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;4.465.636,00;-1.500.635,00;0;-1;2.965.000,00;2.965.000,00;2.965.000,00;2.965.000,00
HERMETO;12.122.6221.9068.0191 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DO DISTRITO FEDERAL ? PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;1.000.000,00;1.900.000,00;0;0;2.900.000,00;2.900.000,00;2.900.000,00;2.900.000,00
